time,vehicle_id,event
2015-02-01 06:58:00+00,V15327,pickup
2015-02-01 06:59:00+00,V15327,dropoff
2015-02-01 06:59:00+00,V19268,pickup
2015-02-01 06:59:00+00,V19823,pickup
2015-02-01 07:01:00+00,V16606,dropoff
2015-02-01 07:01:00+00,V20342,pickup
2015-02-01 07:01:00+00,V18342,pickup
2015-02-01 07:03:00+00,V14720,dropoff
2015-02-01 07:03:00+00,V20880,pickup
2015-02-01 07:05:00+00,V19736,pickup
2015-02-01 07:05:00+00,V18200,pickup
2015-02-01 07:06:00+00,V20252,dropoff
2015-02-01 07:07:00+00,V20160,dropoff
2015-02-01 07:07:00+00,V20880,dropoff
2015-02-01 07:10:00+00,V18200,dropoff
2015-02-01 07:11:00+00,V19823,dropoff
2015-02-01 07:12:00+00,V21355,pickup
2015-02-01 07:14:00+00,V19736,dropoff
2015-02-01 07:14:00+00,V16455,pickup
2015-02-01 07:15:00+00,V19268,dropoff
2015-02-01 07:16:00+00,V16097,pickup
2015-02-01 07:21:00+00,V16951,pickup
2015-02-01 07:21:00+00,V17421,pickup
2015-02-01 07:21:00+00,V15977,pickup
2015-02-01 07:23:00+00,V21355,dropoff
2015-02-01 07:23:00+00,V16097,dropoff
2015-02-01 07:24:00+00,V20191,pickup
2015-02-01 07:25:00+00,V17299,pickup
2015-02-01 07:27:00+00,V18342,dropoff
2015-02-01 07:27:00+00,V15977,dropoff
2015-02-01 07:27:00+00,V19762,pickup
2015-02-01 07:28:00+00,V19186,pickup
2015-02-01 07:30:00+00,V17421,dropoff
2015-02-01 07:31:00+00,V16455,dropoff
2015-02-01 07:31:00+00,V20191,dropoff
2015-02-01 07:31:00+00,V20864,pickup
2015-02-01 07:31:00+00,V20180,pickup
2015-02-01 07:32:00+00,V17299,dropoff
2015-02-01 07:32:00+00,V20325,pickup
2015-02-01 07:32:00+00,V16068,pickup
2015-02-01 07:32:00+00,V20160,pickup
2015-02-01 07:33:00+00,V16951,dropoff
2015-02-01 07:33:00+00,V18929,pickup
2015-02-01 07:35:00+00,V20160,dropoff
2015-02-01 07:37:00+00,V20160,pickup
2015-02-01 07:38:00+00,V14958,pickup
2015-02-01 07:40:00+00,V20342,dropoff
2015-02-01 07:40:00+00,V20180,dropoff
2015-02-01 07:40:00+00,V20160,dropoff
2015-02-01 07:40:00+00,V16071,pickup
2015-02-01 07:40:00+00,V18805,pickup
2015-02-01 07:40:00+00,V21601,pickup
2015-02-01 07:41:00+00,V14958,dropoff
2015-02-01 07:41:00+00,V17304,pickup
2015-02-01 07:42:00+00,V17456,pickup
2015-02-01 07:43:00+00,V18929,dropoff
2015-02-01 07:43:00+00,V21601,dropoff
2015-02-01 07:43:00+00,V15319,pickup
2015-02-01 07:43:00+00,V18131,pickup
2015-02-01 07:44:00+00,V16068,dropoff
2015-02-01 07:44:00+00,V18805,dropoff
2015-02-01 07:45:00+00,V15327,pickup
2015-02-01 07:45:00+00,V19575,pickup
2015-02-01 07:45:00+00,V19377,pickup
2015-02-01 07:46:00+00,V19186,dropoff
2015-02-01 07:47:00+00,V20325,dropoff
2015-02-01 07:47:00+00,V15140,pickup
2015-02-01 07:47:00+00,V16803,pickup
2015-02-01 07:47:00+00,V18125,pickup
2015-02-01 07:49:00+00,V20864,dropoff
2015-02-01 07:49:00+00,V20501,pickup
2015-02-01 07:49:00+00,V19484,pickup
2015-02-01 07:50:00+00,V19377,dropoff
